osm_id,other_tags
5963779,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Wells"",""tiger:name_type""=>""Ave"",""tiger:zip_left""=>""20877"",""tiger:zip_right""=>""20877"""
5963889,"""access""=>""private"""
5964023,"""access""=>""private"",""driveway""=>""pipestem"",""service""=>""driveway"",""surface""=>""asphalt"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"""
5964057,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"""
5964059,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:reviewed""=>""no"""
5964214,"""access""=>""private"",""surface""=>""asphalt"",""tiger:cfcc""=>""A41:A49"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Perimeter"",""tiger:name_type""=>""Rd"",""tiger:reviewed""=>""no"""
5964332,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:reviewed""=>""no"""
5964374,"""access""=>""private"",""service""=>""driveway"",""surface""=>""asphalt"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"""
5964468,"""access""=>""private"",""tiger:cfcc""=>""A74"",""tiger:county""=>""Montgomery, MD"",""tiger:reviewed""=>""no"""
5964521,"""access""=>""private"",""tiger:cfcc""=>""A74"",""tiger:county""=>""Montgomery, MD"",""tiger:reviewed""=>""no"",""tiger:source""=>""tiger_import_dch_v0.6_20070813"",""tiger:tlid""=>""62099555"",""tiger:upload_uuid""=>""bulk_upload.pl-8ab41e8e-2325-4baf-a992-a17fb4f6e3f9"""
5964595,"""access""=>""private"",""tiger:cfcc""=>""A74"",""tiger:county""=>""Montgomery, MD"",""tiger:reviewed""=>""no"""
5964775,"""access""=>""private"",""tiger:cfcc""=>""A74"",""tiger:county""=>""Montgomery, MD"",""tiger:reviewed""=>""no"",""tiger:source""=>""tiger_import_dch_v0.6_20070813"",""tiger:tlid""=>""62043798"",""tiger:upload_uuid""=>""bulk_upload.pl-8ab41e8e-2325-4baf-a992-a17fb4f6e3f9"""
5964927,"""access""=>""private"",""tiger:cfcc""=>""A74"",""tiger:county""=>""Montgomery, MD"",""tiger:reviewed""=>""no"""
5964971,"""access""=>""private"",""tiger:cfcc""=>""A74"",""tiger:county""=>""Montgomery, MD"",""tiger:reviewed""=>""no"",""tiger:source""=>""tiger_import_dch_v0.6_20070813"",""tiger:tlid""=>""62131402:62131403"",""tiger:upload_uuid""=>""bulk_upload.pl-8ab41e8e-2325-4baf-a992-a17fb4f6e3f9"""
5964991,"""access""=>""private"",""service""=>""driveway"",""tiger:cfcc""=>""A74"",""tiger:county""=>""Montgomery, MD"""
